V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,Instructions,E1_A_FG_BL,E1_A_FG_BL_time_1,E1_A_FG_BL_time_2,E1_A_FG_BL_time_3,E1_A_FG_BL_time_4,E1_A_FG_BL_resp,E1_A_FG_BL_rt_1,E1_A_FG_BL_rt_2,E1_A_FG_BL_rt_3,E1_A_FG_BL_rt_4,E1_B_BG_BL,E1_B_BG_BL_time_1,E1_B_BG_BL_time_2,E1_B_BG_BL_time_3,E1_B_BG_BL_time_4,E1_B_BG_BL_resp,E1_B_BG_BL_rt_1,E1_B_BG_BL_rt_2,E1_B_BG_BL_rt_3,E1_B_BG_BL_rt_4,E1_C_FG_FL,E1_C_FG_FL_time_1,E1_C_FG_FL_time_2,E1_C_FG_FL_time_3,E1_C_FG_FL_time_4,E1_C_FG_FL_resp,E1_C_FG_FL_rt_1,E1_C_FG_FL_rt_2,E1_C_FG_FL_rt_3,E1_C_FG_FL_rt_4,E1_D_BG_FL,E1_D_BG_FL_time_1,E1_D_BG_FL_time_2,E1_D_BG_FL_time_3,E1_D_BG_FL_time_4,E1_D_BG_FL_resp,E1_D_BG_FL_rt_1,E1_D_BG_FL_rt_2,E1_D_BG_FL_rt_3,E1_D_BG_FL_rt_4,VideoCompletion,VideoNTimes,GestureNotice,OpenEnded,MathQuestion,age,gender,handedness,language,ThankYou,DO-BR-FL_10,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,CONSENT Ê This study investigates language and perception. You will be asked to look at a picture...,"INSTRUCTIONS Ê On the next screen, you will see a video of a person. Focus on the screen. Please...",Click to write the question text,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,What day of the week the meeting has been rescheduled to?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Click to write the question text,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,What day of the week the meeting has been rescheduled to?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Click to write the question text,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,What day of the week has the meeting been rescheduled to?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Click to write the question text,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,What day of the week has the meeting been rescheduled to?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Were you able to view the video completely?,"If you were able to view the video, how many times did you view it?",Did you notice the person's gestures?,"Any observations, thoughts, ideas you want to share with us about the person you just saw or the...",What is 9 + 4?,What is your age?,What is your gender?,Are you left or right-handed?,What is your native language / your native languages? Ê Your native language(s) is what you spoke...,You completed our survey! Please follow the link below to retrieve the access code for this HIT:...,Display Order: Block Randomizer FL_10,LocationLatitude,LocationLongitude,LocationAccuracy
R_1gMFr2xYdfZg4MB,Default Response Set,Anonymous,,,24.179.194.192,0,21/03/2017 15:36,21/03/2017 15:37,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,no,13,29,female,right-handed,English,1,E1_C_FG_FL,45.5809021,-94.20809937,-1
R_6rKb6IbOANz2OHv,Default Response Set,Anonymous,,,67.11.212.123,0,21/03/2017 15:44,21/03/2017 15:46,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,It's ambiguous if he meant Monday or Friday.,13,34,male,right-handed,English,1,E1_C_FG_FL,29.55589294,-98.36519623,-1
R_29bJAvJR4PDrSH7,Default Response Set,Anonymous,,,69.130.122.37,0,21/03/2017 15:45,21/03/2017 15:49,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,Yes,2,Definitely yes,,13,25,male,right-handed,English,1,E1_D_BG_FL,37.81159973,-113.2240982,-1
R_3lKPV52p0858AmW,Default Response Set,Anonymous,,,73.53.100.228,0,21/03/2017 16:11,21/03/2017 16:12,1,1,1,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,No,13,26,male,right-handed,English,1,E1_A_FG_BL,47.31010437,-122.2042007,-1
R_2yd2z6iRPClh1PW,Default Response Set,Anonymous,,,50.137.142.118,0,21/03/2017 16:11,21/03/2017 16:16,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,"The question can be interpreted two ways, depending on each person who listens to it. ""Forward"" is ambiguous when talking about days of the week, since it could move in either direction for a lot of people.",13,31,female,right-handed,English,1,E1_C_FG_FL,45.48179626,-122.6004944,-1
R_8w5sYV0YA3806JP,Default Response Set,Anonymous,,,68.190.248.238,0,21/03/2017 16:14,21/03/2017 16:18,1,1,1,1,1,2,3,4,back two days,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,The gesture is the opposite of what I expected,13,44,female,right-handed,english,1,E1_A_FG_BL,33.83149719,-118.1847,-1
R_2X1fNZNuLbMVFhz,Default Response Set,Anonymous,,,198.60.233.2,0,21/03/2017 16:17,21/03/2017 16:19,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,two days ahead,1,2,3,4,Maybe,1,Definitely yes,He said forward but motioned back.,13,38,male,right-handed,English,1,E1_D_BG_FL,42.56300354,-114.4608994,-1
R_VQZ9N0jqpM6llVT,Default Response Set,Anonymous,,,107.219.126.149,0,21/03/2017 16:20,21/03/2017 16:22,1,1,1,1,1,2,3,4,next Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,40,male,right-handed,English,1,E1_A_FG_BL,41.60450745,-87.99559784,-1
R_2YYDUm74FN9bPJV,Default Response Set,Anonymous,,,128.151.20.238,0,21/03/2017 15:30,21/03/2017 15:31,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,1,Definitely yes,He moved his hand towards himself/forward away from us. ,13,22,male,right-handed,"English, Spanish",,E1_D_BG_FL,,,-1
R_VJSG7qjA0JIFwoF,Default Response Set,Anonymous,,,67.186.29.207,0,21/03/2017 15:39,21/03/2017 15:39,0,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,It was a weird hand gesture,13,31,male,right-handed,English,,E1_A_FG_BL,,,-1
R_4NG7ktc6r8JMWT7,Default Response Set,Anonymous,,,68.104.245.191,0,21/03/2017 16:12,21/03/2017 16:24,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,friday,1,2,3,4,Yes,1,Definitely yes,nope,13,32,female,right-handed,english,,E1_D_BG_FL,,,-1
R_3HGLWnUg13hCUBw,Default Response Set,Anonymous,,,184.166.87.77,0,21/03/2017 16:11,21/03/2017 16:12,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,Yes,once,Definitely yes,not particularly,13,25,male,right-handed,english,,E1_C_FG_FL,,,-1
R_2amZ1KOUfu5hnoS,Default Response Set,Anonymous,,,50.152.61.40,0,21/03/2017 15:31,21/03/2017 15:33,0,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,,13,33,female,right-handed,english,,E1_B_BG_BL,,,-1
R_shEcSaxGQy4ye8V,Default Response Set,Anonymous,,,172.113.160.244,0,21/03/2017 15:29,21/03/2017 15:31,0,1,1,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,Twice,Probably yes,"He moved his hand towards his chest when he said ""backwards"".",13,27,male,right-handed,english,,E1_B_BG_BL,,,-1
R_2t6aDzaLYIw8mJQ,Default Response Set,Anonymous,,,86.31.249.104,0,18/03/2017 07:32,18/03/2017 09:06,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,Yes,2,Definitely yes,,13,29,female,right-handed,English,,E1_C_FG_FL,,,-1
R_1IGna4ihkv9C10u,Default Response Set,Anonymous,,,2.218.0.232,0,21/03/2017 15:16,21/03/2017 15:18,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,bodo,Might or might not,bodo,2222,bodo,male,left-handed,bodo,,E1_D_BG_FL,,,-1
R_wSEoMLJh64pGIwx,Default Response Set,Anonymous,,,65.126.43.116,0,21/03/2017 15:32,21/03/2017 15:35,0,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,twice,Probably yes,Not really,13,28,male,right-handed,English,,E1_A_FG_BL,,,-1
R_2AHmU5M3j4rWaM4,Default Response Set,Anonymous,,,108.219.9.131,0,21/03/2017 16:11,21/03/2017 16:13,0,1,1,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,22,female,right-handed,english,,E1_B_BG_BL,,,-1
R_2DNCpjMcDtVyewT,Default Response Set,Anonymous,,,73.205.202.129,0,21/03/2017 16:11,21/03/2017 16:12,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,1,Definitely yes,He moved his hand backward. but the meeting was moved forward,13,27,male,right-handed,English/spanish,,E1_D_BG_FL,,,-1
R_1ih2YnHO9xJ6hOY,Default Response Set,Anonymous,,,108.81.4.13,0,21/03/2017 15:50,21/03/2017 15:51,0,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Probably not,,13,29,male,right-handed,English,,E1_B_BG_BL,,,-1
R_1d4wMozwdwWE0m5,Default Response Set,Anonymous,,,73.102.20.62,0,22/03/2017 05:43,22/03/2017 05:44,1,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,The person moved his hands from in front of him back towards his body,13,34,male,right-handed,English,1,E1_B_BG_BL,40.13499451,-85.37999725,-1
R_1reLU3zosyXu34q,Default Response Set,Anonymous,,,148.74.16.168,0,22/03/2017 05:55,22/03/2017 05:56,1,1,1,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,he didn't speak clearly,13,33,male,right-handed,english,1,E1_A_FG_BL,41.03930664,-73.81009674,-1
R_3hoquSR5Ux0eDSL,Default Response Set,Anonymous,,,71.28.233.232,0,22/03/2017 05:58,22/03/2017 05:59,1,1,1,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,"He seems like a nice guy, very matter of fact.",13,28,male,right-handed,English,1,E1_B_BG_BL,37.92070007,-84.41770172,-1
R_bxup0wm8M927LIB,Default Response Set,Anonymous,,,216.57.222.134,0,22/03/2017 05:59,22/03/2017 06:02,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,1,Definitely yes,The gesture made me think backwards instead of forwards at first.,13,42,male,right-handed,English,1,E1_D_BG_FL,48.79820251,-122.4098053,-1
R_3HCtTOtYQ2MKNYY,Default Response Set,Anonymous,,,174.105.37.165,0,22/03/2017 06:34,22/03/2017 06:35,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,two days from the original date.,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,,13,27,male,right-handed,english,1,E1_C_FG_FL,39.96490479,-83.13829803,-1
R_2QF1NUc7k4JHQPJ,Default Response Set,Anonymous,,,69.253.177.27,0,22/03/2017 06:34,22/03/2017 06:36,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,"Forward so, Monday?",1,2,3,4,,,,,,,,,,,Yes,,Definitely yes,"He used hand gesture to motion that the schedule have been moved, but I don't think he specify what day it was.",13,27,male,right-handed,English and Cantonese,1,E1_C_FG_FL,40.03259277,-75.11579895,-1
R_2SerRZCwJNU3Xjs,Default Response Set,Anonymous,,,67.241.222.4,0,22/03/2017 06:40,22/03/2017 06:41,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,Yes,Once,Definitely yes,"No, I do not believe so.",13,26,male,right-handed,English,1,E1_C_FG_FL,44.86349487,-68.84020233,-1
R_2P5tX7kWcLOWRoe,Default Response Set,Anonymous,,,73.23.153.157,0,22/03/2017 06:49,22/03/2017 06:51,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,friday,1,2,3,4,Yes,1,Definitely yes,,13,51,female,right-handed,english,1,E1_D_BG_FL,26.52839661,-81.82949829,-1
