V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,Instructions,E2_SH_FLAT_FORW,E2_SH_FLAT_BACK,E2_TH_FLAT_FORW,E2_TH_FLAT_BACK,E2_SH_PUSH_FORW,E2_SH_PUSH_BACK,E2_TH_PUSH_FORW,E2_TWO_PUSH_BACK,VideoCompletion,VideoNTimes,VideoIssues,OpenEnded,GestureNotice,MathQuestion,TransitionPerson,Likeability,Approachability,Warm,Friendly,TransitionAQ,AQ1_face,AQ2_face,age,gender,handedness,language,ThankYou,DO-BR-FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,CONSENT   This study investigates language and perception. You will be asked to look at a picture...,"INSTRUCTIONS   On the next screen, you will see a video of a person. Please make sure that your a...",Response:,Response:,Response:,Response:,Response:,Response:,Response:,Response:,Were you able to view the video completely?,"If you were able to view the video, how many times did you view it?",Were there any video or audio issues that you were aware of?,"Any observations, thoughts, ideas you want to share with us about the person you just saw or the...",Did you notice the person's gestures?,What is 9 + 4?,The next four questions are about the person in the video:,The person in the video is likeable.  ,The person in the video is approachable.,The person in the video is warm.,The person in the video is friendly.,The next two questions are about yourself:,I find it easy to work out what someone is thinking or feeling just by looking at their face.,I find it difficult to work out people’s intentions.,What is your age?,What is your gender?,Are you left or right-handed?,What is your native language / your native languages?   Your native language(s) is what you spoke...,You completed our survey! Please follow the link below to retrieve the access code for this HIT:...,Display Order: Block Randomizer FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
R_3nGl7cKph8rebIV,Default Response Set,Anonymous,,,184.57.164.219,0,2019-07-04 07:51:37,2019-07-04 07:52:43,1,1,1,,,,,,,forward two days,,Yes,1,no,no,Definitely yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,25,male,right-handed,English,1,E2_TH_PUSH_FORW,39.71549987793,-84.163696289062,-1,
R_3L1EDKmnr8LhnJj,Default Response Set,Anonymous,,,96.58.142.231,0,2019-07-04 07:50:26,2019-07-04 07:52:51,1,1,1,Friday,,,,,,,,Yes,2,no,Just a question being asked,Definitely yes,13,1,slightly agree,strongly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,33,male,right-handed,english,1,E2_SH_FLAT_FORW,27.78889465332,-82.719200134277,-1,
R_QgnFkKU7OmtYsA9,Default Response Set,Anonymous,,,73.153.191.15,0,2019-07-04 07:50:41,2019-07-04 07:54:02,1,1,1,,,,,,Monday,,,Yes,2,no,"I had to play it a second time, because ""Wednesday"" was the first word in the video and I was like, ""What did he say?"".",Definitely yes,13,1,strongly disagree,strongly disagree,strongly disagree,strongly disagree,1,strongly disagree,slightly agree,57,female,right-handed,English,1,E2_SH_PUSH_BACK,39.666702270508,-105.08540344238,-1,
R_1lxACXTz6xN0JtW,Default Response Set,Anonymous,,,104.58.194.30,0,2019-07-04 07:52:14,2019-07-04 07:55:25,1,1,1,,,,,,,monday,,Yes,2,no,He talked way too fast and very jumbled like,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,strongly agree,strongly disagree,21,female,right-handed,english,1,E2_TH_PUSH_FORW,32.553207397461,-94.775497436523,-1,
R_1hYbUNM2gOVpSgE,Default Response Set,Anonymous,,,172.90.144.178,0,2019-07-04 07:54:06,2019-07-04 07:56:05,1,1,1,,,,,Friday,,,,Yes,1,It took a couple seconds to buffer.,Seems like someone who has a decent job. ,Probably yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,31,male,ambidextrous,English,1,E2_SH_PUSH_FORW,33.739898681641,-117.01509857178,-1,
R_D7DiFGwhKz6rpAt,Default Response Set,Anonymous,,,45.4.196.115,0,2019-07-04 07:52:06,2019-07-04 07:56:31,1,1,1,,,,,,5,,,Yes,1,Nothing,Don't no,Probably yes,13,1,slightly agree,strongly agree,slightly agree,strongly agree,1,slightly agree,strongly agree,25,male,right-handed,English,1,E2_SH_PUSH_BACK,40.750305175781,-74.001403808594,-1,
R_3JkCaXQUQAWF3zY,Default Response Set,Anonymous,,,199.241.125.113,0,2019-07-04 07:50:52,2019-07-04 07:58:14,1,1,1,Friday,,,,,,,,Yes,2,No,,Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,1,strongly agree,strongly disagree,38,male,right-handed,English ,1,E2_SH_FLAT_FORW,44.975204467773,-93.261199951172,-1,
R_3mlXM5s1k1RLXQf,Default Response Set,Anonymous,,,73.236.40.189,0,2019-07-04 07:58:00,2019-07-04 08:00:01,1,1,1,,,,,,Monday,,,Yes,once,no,no,Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,1,slightly agree,slightly disagree,59,male,right-handed,English,1,E2_SH_PUSH_BACK,41.02409362793,-80.345397949219,-1,
R_1hEg9Z3d6Ost5U3,Default Response Set,Anonymous,,,75.118.229.86,0,2019-07-04 07:50:49,2019-07-04 08:00:54,1,1,1,,,,,Friday,,,,Yes,1,No issues,This was difficult to comprehend. He was talking very fast (which I think was probably part of the experiment). He also put his hand forward (as he said forward two days) showing five fingers which triggered in my mind 5 days. Interesting.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly disagree,slightly agree,39,male,right-handed,English,1,E2_SH_PUSH_FORW,42.330993652344,-83.37850189209,-1,
R_1iszmsTqSA3wPnc,Default Response Set,Anonymous,,,23.244.106.95,0,2019-07-04 07:58:25,2019-07-04 08:01:24,1,1,1,,,,,,,,forward,Yes,2,Nothing,making to tell others in clean and understandable,Probably yes,13,1,slightly disagree,slightly agree,slightly disagree,slightly agree,1,slightly agree,slightly disagree,30,male,right-handed,English,1,E2_TWO_PUSH_BACK,35.151794433594,-106.57890319824,-1,
