V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,Instructions,E4_move_BACK,E4_move_FORW,E4_change_FORW,E4_change_BACK,VideoCompletion,VideoNTimes,VideoIssues,OpenEnded,GestureNotice,MathQuestion,TransitionPerson,Likeability,Approachability,Warm,Friendly,age,gender,handedness,language,ThankYou,DO-BR-FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,CONSENT   This study investigates language and perception. You will be asked to look at a picture...,"INSTRUCTIONS   On the next screen, you will see a video of a person. Please make sure that your a...",Response:,Response:,Response:,Response:,Were you able to view the video completely?,"If you were able to view the video, how many times did you view it?",Were there any video or audio issues that you were aware of?,"Any observations, thoughts, ideas you want to share with us about the person you just saw or the...",Did you notice the person's gestures?,What is 9 + 4?,The next four questions are about the person in the video:,The person in the video is likeable.  ,The person in the video is approachable.,The person in the video is warm.,The person in the video is friendly.,What is your age?,What is your gender?,Are you left or right-handed?,What is your native language / your native languages?   Your native language(s) is what you spoke...,You completed our survey! Please follow the link below to retrieve the access code for this HIT:...,Display Order: Block Randomizer FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2V93qwVTcFcoQwt,Default Response Set,Anonymous,,,198.200.181.204,0,2019-07-05 06:25:36,2019-07-05 06:27:18,1,1,1,,,Friday,,Yes,twice,no,,Definitely yes,3,1,strongly agree,slightly agree,slightly agree,slightly agree,28,male,right-handed,English,1,E4_change_FORW,39.281204223633,-76.740600585938,-1,
R_2tzpOlRrUlWGiGU,Default Response Set,Anonymous,,,63.143.233.214,0,2019-07-05 06:25:32,2019-07-05 06:27:27,1,1,1,Friday,,,,Yes,1,no,None,Probably yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,26,male,right-handed,English,1,E4_move_BACK,40.912902832031,-74.162696838379,-1,
R_3L6h5mOuN9DnxDL,Default Response Set,Anonymous,,,73.215.111.6,0,2019-07-05 06:25:48,2019-07-05 06:27:34,1,1,1,,Friday,,,Yes,2,No,No. It seemed pretty cut and dry,Definitely yes,13,1,slightly disagree,slightly disagree,slightly agree,slightly agree,61,male,right-handed,English,1,E4_move_FORW,39.787506103516,-75.179702758789,-1,
R_2QhUT42XeEUyBeW,Default Response Set,Anonymous,,,192.181.233.60,0,2019-07-05 06:25:40,2019-07-05 06:27:49,1,1,1,,,,It is either on Monday or Friday,Yes,2,"No issues, but I played it a second time because my audio was on, but a bit low and I couldn't hear it all the first time",I don't have specific ideas about it - the task seemed pretty straightforward.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,strongly agree,28,female,right-handed,English,1,E4_change_BACK,39.837799072266,-84.111099243164,-1,
R_111Pm4OyHomQ4p4,Default Response Set,Anonymous,,,73.224.101.237,0,2019-07-05 06:25:50,2019-07-05 06:28:00,1,1,1,,,,Friday,Yes,1,no,"No, except the exact day.",Probably yes,13,1,slightly agree,slightly agree,slightly disagree,slightly disagree,68,male,left-handed,English,1,E4_change_BACK,30.122299194336,-81.362701416016,-1,
R_240BG9d4E4YQHnL,Default Response Set,Anonymous,,,73.173.103.253,0,2019-07-05 06:26:25,2019-07-05 06:28:03,1,1,1,,Monday,,,Yes,2,No,It was hard to understand what they were saying.,Definitely yes,13,1,slightly disagree,slightly agree,slightly disagree,slightly disagree,25,male,right-handed,English,1,E4_move_FORW,39.21240234375,-76.877601623535,-1,
R_24oAWyUPiXcsPbU,Default Response Set,Anonymous,,,67.11.212.123,0,2019-07-05 06:26:19,2019-07-05 06:28:04,1,1,1,,,,Monday,Yes,1,none,,Definitely yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,34,male,right-handed,English,1,E4_change_BACK,29.553100585938,-98.359802246094,-1,
R_1kOlAXPgAXVpQiD,Default Response Set,Anonymous,,,152.208.24.36,0,2019-07-05 06:25:29,2019-07-05 06:28:12,1,1,1,,,,Next Friday,Yes,1,No,"The message is ambiguous, I guessed next Friday, it could be next Monday though.",Definitely yes,13,1,slightly agree,slightly disagree,slightly disagree,slightly agree,27,male,left-handed,English,1,E4_change_BACK,40.232696533203,-76.933097839355,-1,
R_1IW3YfCYyW2SNfg,Default Response Set,Anonymous,,,173.172.168.221,0,2019-07-05 06:27:01,2019-07-05 06:28:37,1,1,1,two days from now,,,,Yes,1,no,,Definitely yes,13,1,slightly agree,strongly agree,slightly agree,strongly agree,24,female,right-handed,English,1,E4_move_BACK,32.589202880859,-96.944000244141,-1,
